well_id,lat,lon,arsenic_ug_l
S98_02605,23.391,91.101,< 6
S98_02606,23.25,90.878,194
S98_02607,23.086,90.644,6
S98_02608,22.651,90.92,< 6
S98_02609,23.031,90.694,375
S98_02610,22.381,90.686,< 6
S98_02611,22.829,91.094,143
S98_02612,23.191,90.958,233
S98_02613,22.87,91.276,33
S98_02614,23.039,91.52,13
S98_02615,22.413,90.851,< 6
S98_02616,22.945,91.06,66
S98_02617,23.061,90.969,71
S98_02618,22.879,91.235,6
S98_02619,23.029,91.404,16
S98_02620,23.188,91.435,22
S98_02621,22.958,91.289,98
S98_02622,21.971,91.955,< 6
S98_02623,22.343,91.804,< 6
S98_02624,22.349,91.837,< 6
S98_02625,23.067,91.4353,6
S98_02626,22.936,91.376,166
S98_02627,22.228,91.902,8
S98_02628,22.361,91.804,< 6
S98_02629,22.29,91.783,16
S98_02630,21.619,92.069,< 6
S98_02631,21.247,92.138,< 6
S98_02632,21.521,91.97,< 6
S98_02633,22.368,91.843,< 6
S98_02634,22.347,91.852,80
S98_02635,20.875,92.295,< 6
S98_02636,21.426,92.009,< 6
S98_02637,24.43,91.904,254
S98_02638,24.431,91.934,8
S98_02639,24.814,91.759,53
S98_02640,24.88,92.369,80
S98_02641,24.593,91.691,133
S98_02642,24.522,91.859,91
S98_02643,24.652,91.823,139
S98_02644,24.822,92.122,< 6
S98_02645,24.308,91.738,15
S98_02646,24.691,92.188,< 6
S98_02647,24.697,91.937,< 6
S98_02648,24.831,92.044,< 6
S98_02649,25.01,92.258,151
S98_02650,25.089,91.76,73
S98_02651,25.057,91.39,50
S98_02652,25.031,91.663,246
S98_02653,25.135,92.132,< 6
S98_02654,24.99,92.046,< 6
S98_02655,24.89,91.873,< 6
S98_02656,24.794,91.578,23
S98_02657,24.195,91.522,< 6
S98_02658,24.317,91.328,< 6
S98_02659,24.289,91.566,< 6
S98_02660,24.098,91.322,< 6
S98_02661,24.397,91.427,17
S98_02662,24.575,91.513,50
S98_02663,24.122,91.083,8
S98_02664,23.984,91.109,105
S98_02665,23.672,91.159,8
S98_02666,24.196,91.198,< 6
S98_02667,23.866,91.214,< 6
S98_02668,23.467,90.334,133
S98_02669,23.542,90.607,120
S98_02670,23.572,90.374,529
S98_02671,23.488,90.551,< 6
S98_02672,23.552,90.209,104
S98_02673,23.543,90.463,263
S98_02674,23.769,90.76,115
S98_02675,23.808,90.888,326
S98_02676,22.613,91.645,151
S98_02677,22.777,91.57,229
S98_02678,21.427,92.083,< 6
S98_02679,23.746,90.545,< 0.5
S98_02680,25.091,91.984,21.3
S98_02681,22.803,89.579,< 0.5
S98_02682,23.041,89.635,20.9
S98_02683,22.651,89.882,18.8
S98_02684,22.747,89.84,176
S98_02685,23.113,89.5,1.5
S98_02686,23.486,89.421,37.5
S98_02687,22.715,90.352,279
S98_02688,22.893,90.506,1.5
S98_02689,23.546,89.163,26.3
S98_02690,23.967,89.043,26.5
S98_02691,23.051,90.201,26.4
S98_02692,22.536,90.35,< 0.5
S98_02693,22.773,90.142,11.5
S98_02694,22.821,90.252,2
S98_02695,22.143,90.21,1.1
S98_02696,22.707,89.977,270
S98_02697,22.819,90.473,2.6
S98_02698,22.814,90.363,35.4
S98_02699,22.391,89.991,1.4
S98_02700,22.743,90.099,1.1
S98_02701,22.372,90.093,0.5
S98_02702,22.456,90.102,5.4
S98_02703,23.341,90.173,4.7
S98_02704,23.453,90.203,375
S98_02705,23.205,90.05,3.5
S98_02706,23.081,90.302,2
S98_02707,23.633,89.551,4.7
S98_02708,23.482,89.881,99.6
S98_02709,23.725,89.753,10.1
S98_02710,24.681,88.169,3.6
S98_02711,24.532,88.759,1.3
S98_02712,24.294,88.74,15.7
S98_02713,24.227,88.758,< 0.5
S98_02714,24.427,88.771,< 0.5
S98_02715,23.942,89.41,0.5
S98_02716,24.042,89.542,21
S98_02717,23.831,90.9,406
S98_02718,23.169,91.129,350
S98_02719,22.491,90.711,1
S98_02720,22.683,90.648,163
S98_02721,22.164,90.758,2.7
S98_02722,22.628,90.662,1.2
S98_02724,23.624,90.611,224
S98_02725,23.673,90.631,311
S98_02726,23.727,90.634,175
S98_02727,23.754,90.582,< 0.5
S98_02728,23.755,90.581,< 0.5
S98_02729,23.778,90.526,< 0.5
S98_02730,23.831,90.554,< 0.5
S98_02731,23.875,90.581,31.9
S98_02732,23.865,90.551,0.7
S98_02733,23.787,90.605,180
S98_02734,23.787,90.659,70.8
S98_02735,23.788,90.705,1.1
S98_02736,23.779,90.678,< 0.5
S98_02737,23.751,90.667,76.6
S98_02738,23.7,90.516,1.1
S98_02739,23.717,90.512,< 0.5
S98_02740,23.649,90.476,< 0.5
S98_02741,23.764,90.165,9.6
S98_02742,23.772,90.205,0.8
S98_02743,23.817,90.122,1.9
S98_02744,23.833,90.085,45.6
S98_02745,23.607,90.496,< 0.5
S98_02746,23.591,90.501,25.7
S98_02747,23.652,90.524,3.1
S98_02748,23.869,90.023,12.9
S98_02749,23.851,90.001,43.6
S98_02750,23.88,90.071,12.8
S98_02751,23.816,90.062,4.6
S98_02752,23.802,90.02,9.1
S98_02753,23.757,90.019,51.9
S98_02754,23.847,89.829,14.8
S98_02755,23.897,89.8,43.2
S98_02756,23.867,89.775,5.9
S98_02757,23.823,89.792,30.4
